Asin,Timestamp,Pincode,City,Seller,Price,coupon_text
B00C5HU7JA,3/26/2025 16:35,400097,mumbai,Global Mart India,"4,742",1% coupon Terms
B000HDV7YS,3/26/2025 16:35,400097,mumbai,Global Mart India,"4,146",₹75 coupon Terms
B002CQU54Q,3/26/2025 16:35,400097,mumbai,Global Mart India,"7,345",1% coupon Terms
B004UJCIZM,3/26/2025 16:35,400097,mumbai,Global Mart India,"4,722",no discount
B000PSX1SA,3/26/2025 16:35,400097,mumbai,DR TNG ENTERPRISES,"3,250",no discount
B002CQU4ZG,3/26/2025 16:35,400097,mumbai,IGNITE ENTERPRISE,"2,999",no discount
B003DYQ59U,3/26/2025 16:35,400097,mumbai,Global Mart India,"3,225",₹50 coupon Terms
B000H3VC0W,3/26/2025 16:36,400097,mumbai,DR TNG ENTERPRISES,"2,620",no discount
B0014FUQ1S,3/26/2025 16:36,400097,mumbai,Global Mart India,"4,857",₹75 coupon Terms
B07FD9R43P,3/26/2025 16:36,400097,mumbai,Global Mart India,"10,820",1% coupon Terms
B002CQU532,3/26/2025 16:36,400097,mumbai,Pappy Mart,"8,082",no discount
B074H7PLSV,3/26/2025 16:36,400097,mumbai,no_buy_box,,
B004T7DYOO,3/26/2025 16:36,400097,mumbai,Global Mart India,"9,419",no discount
B002WTCLHW,3/26/2025 16:36,400097,mumbai,Global Mart India,"5,785",1% coupon Terms
B0096M5PBW,3/26/2025 16:36,400097,mumbai,Global Mart India,"5,153",no discount
B004O8I7JA,3/26/2025 16:36,400097,mumbai,Global Mart India,"4,792",1% coupon Terms
B002C3THZW,3/26/2025 16:36,400097,mumbai,no_buy_box,,
B002WTCLGI,3/26/2025 16:36,400097,mumbai,Global Mart India,"5,657",no discount
B002WTCLHC,3/26/2025 16:37,400097,mumbai,Global Mart India,"8,944",no discount
B002CQU58W,3/26/2025 16:37,400097,mumbai,Global Mart India,"6,422",no discount
B002WTCM3K,3/26/2025 16:37,400097,mumbai,Global Mart India,"9,618",no discount
B002CQU50U,3/26/2025 16:37,400097,mumbai,Global Mart India,"6,631",1% coupon Terms
B0006GZE1S,3/26/2025 16:37,400097,mumbai,Global Mart India,"4,389",1% coupon Terms
B002CQU58M,3/26/2025 16:37,400097,mumbai,Global Mart India,"3,098",1% coupon Terms
B002CQU53C,3/26/2025 16:37,400097,mumbai,no_buy_box,,
B002CQU55K,3/26/2025 16:37,400097,mumbai,Global Mart India,"7,034",1% coupon Terms
B002CQU596,3/26/2025 16:37,400097,mumbai,Global Mart India,"6,422",no discount
B004LSFKVG,3/26/2025 16:37,400097,mumbai,Global Mart India,"1,662",no discount
B004GEWJVE,3/26/2025 16:38,400097,mumbai,Global Mart India,"4,605",no discount
B00U1V8HO4,3/26/2025 16:38,400097,mumbai,no_buy_box,,
B015TQ7USO,3/26/2025 16:38,400097,mumbai,Global Mart India,"7,087",no discount
B01LTHMG4K,3/26/2025 16:38,400097,mumbai,Global Mart India,"9,676",1% coupon Terms
